Date,Transaction Type,Received Quantity,Received Currency,Sent Quantity,Sent Currency,Fee Currency,Fee Amount,Market Value,Source,Internal Transfer,External ID
2019-10-10T12:44:17.000Z,Income,0.001,RDNN,,,,,0.00020043474304958813,Binance,FALSE,1b250d4a-ae46-4ae6-ab7e-588fac4e89e6
2019-10-11T02:54:16.000Z,Income,1.5692,CELR,,,,,0.0079542748,Binance,FALSE,ee74a6fe-e2e6-4b15-880c-db1d77720515
2019-10-11T21:33:39.000Z,Income,0.008408,XTZ,,,,,0.00765196852020852,Binance,FALSE,45106fc9-7f80-4bd5-aa2e-ba5608770c00
2019-10-14T09:03:56.000Z,Income,1.535,NKN,,,,,0.08144071541935205,Binance,FALSE,97306501-3d9e-49b9-a6e2-844c25d0c957
2019-10-14T14:37:06.000Z,Income,0.034,IOST,,,,,0.00016702873291132302,Binance,FALSE,88ee3e83-60c0-4227-b9f6-db022a53d6fe
2019-10-14T16:09:41.000Z,Income,0.000346,NAS,,,,,0.0001687696188243314,Binance,FALSE,91ba15b8-ddc4-4351-ba62-85232543d91f
2019-10-14T19:13:01.000Z,Income,0.012,STORJ,,,,,0.0015637993809517656,Binance,FALSE,4b3a122e-e47e-47ff-bd64-7a388d639fa0
2019-10-15T15:50:01.000Z,Income,0.5966,FTM,,,,,0.00776063119468678,Binance,FALSE,e799f8fc-0a4d-4fba-891e-bd98647a1b50
2019-10-21T09:41:47.000Z,Income,0.28,CHZ,,,,,0.0026983600000000003,Binance,FALSE,de997a73-602c-4fd0-9b50-bda4dbdef7b4
2019-10-21T09:46:26.000Z,Income,0.101,APPC,,,,,0.003831875577566807,Binance,FALSE,9ac9546f-9206-46d3-8295-452746f4c4a5
2019-10-22T03:24:52.000Z,Income,0.14674,CVC,,,,,0.005358103412658532,Binance,FALSE,d1aba80c-b31b-4697-80fb-df400e5f9201
2019-10-23T04:37:02.000Z,Income,0.0128,NULS,,,,,0.004082542140551815,Binance,FALSE,972bc097-2306-4be8-867a-d03c81ccf6fc
2019-10-25T02:17:07.000Z,Income,0.0134,KAVA,,,,,0.010923283449317105,Binance,FALSE,77aed585-776f-4fe4-be62-c7891503af22
